recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,take_id,segment_id,source_split_audio,event_id,event_range,gesture_id,realization_variant,pre_idle_end_s,gesture_start_s,render_anchor_s,tail_end_s,render_anchor_type,pre_attack_music_policy,tail_policy,segment_status,review_status,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,updated_at,source_raw_audio,source_audio,variant,anchor_type,render_usable,segment_status_label_zh,review_status_label_zh,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T041,001,RS_XWC_002_041,T041,RECD2_BATCH05_T041,clean_previews/T041_clean_preview.wav,XWC_P06_N03,,SAN_TIAO_5,clean,1.662,1.712,1.712,3.509,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T041_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T042,002,RS_XWC_002_042,T042,RECD2_BATCH05_T042,clean_previews/T042_clean_preview.wav,XWC_P06_N04,,AN_THUMB_9_GOU_2,clean,0.000,0.077,0.127,1.354,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T042_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T043,003,RS_XWC_002_043,T043,RECD2_BATCH05_T043,clean_previews/T043_clean_preview.wav,XWC_P06_N04,,AN_THUMB_9_GOU_2,clean,1.384,1.484,1.534,2.948,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T043_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T044,004,RS_XWC_002_044,T044,RECD2_BATCH05_T044,clean_previews/T044_clean_preview.wav,XWC_P07_N01,,SAN_TIAO_6,clean,0.597,0.647,0.647,2.406,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T044_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T045,005,RS_XWC_002_045,T045,RECD2_BATCH05_T045,clean_previews/T045_clean_preview.wav,XWC_P07_N02,,AN_THUMB_9_GOU_3,clean,0.771,0.821,0.821,2.982,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T045_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T046,006,RS_XWC_002_046,T046,RECD2_BATCH05_T046,clean_previews/T046_clean_preview.wav,XWC_P07_N02,,AN_THUMB_9_GOU_3,clean,0.867,0.967,1.017,2.675,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T046_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T047,007,RS_XWC_002_047,T047,RECD2_BATCH05_T047,clean_previews/T047_clean_preview.wav,XWC_P07_N03,,SAN_TIAO_7,clean,0.356,0.406,0.406,3.097,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T047_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T048,008,RS_XWC_002_048,T048,RECD2_BATCH05_T048,clean_previews/T048_clean_preview.wav,XWC_P07_N04,,AN_THUMB_9_GOU_4,clean,0.532,0.632,0.682,2.373,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T048_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T049,009,RS_XWC_002_049,T049,RECD2_BATCH05_T049,clean_previews/T049_clean_preview.wav,XWC_P07_N04,,AN_THUMB_9_GOU_4,clean,1.406,1.506,1.556,3.246,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T049_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T050,010,RS_XWC_002_050,T050,RECD2_BATCH05_T050,clean_previews/T050_clean_preview.wav,XWC_P08_N01,,AN_THUMB_9_GOU_5,clean,1.829,1.879,1.879,4.320,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T02:55:07.783977+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,clean_previews/T050_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
