glyph_group_id,proposed_reading,confidence,needs_review_reason,user_decision,user_correction,notes
LXY-P01-PH04-G001,大指六二徽，轮七弦,seg=high; component=high; parse=high,User correction; 轮 subaction expansion remains parser-stage/review work.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G002,撞,seg=high; component=high; parse=medium,Host/attachment to preceding G001 position needs review.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G003,大指注下七徽，抹七弦,seg=medium_high; component=medium; parse=medium_high,Template reuse from P3-G04; still reviewable.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G004,吟,seg=high; component=high; parse=medium_high,Attachment to preceding position needs review.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G005,上六二,seg=high; component=high; parse=high,User correction from 上六三 to 上六二.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G006,撞,seg=high; component=high; parse=medium,Host/attachment to prior position needs review.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G007,大指注下七徽，挑七弦,seg=medium; component=medium_high; parse=high,User correction: this missing event occurs before 急进复.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G008,急进复,seg=medium; component=medium; parse=medium_high,Boundary remains approximate after user correction.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G009,名指七六徽，掐起七弦,seg=medium; component=medium; parse=medium_high,User correction adds 七弦 to 掐起.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G010,名指七九徽，挑六弦,seg=medium_high; component=medium_high; parse=high,User correction; bbox merges the earlier over-split tail glyphs.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
LXY-P01-PH04-G011,散音，挑五弦，句号,seg=high; component=high; parse=high,User correction: same construction as P3-G10.,,,LXY_TRANSCRIPTION_DRAFT; USER_COMPONENT_LABEL_GUIDED; NOT_CANON_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NEEDS_HUMAN_REVIEW
