render_set_id,phrase_id,preferred_version_id,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,C_QINIST_STYLE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,C_QINIST_STYLE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,C_QINIST_STYLE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,C_QINIST_STYLE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,C_QINIST_STYLE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,B_PHRASE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,B_PHRASE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,B_PHRASE,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,A_LITERAL,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P10_LOCAL_PHRASE,A_LITERAL,draft,true,false,false,true,true,false
