recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,marker_id,marker_type,time_s,source,review_status,review_only,production_grade,updated_at,file_id,batch_take_no,script_id,unit_id,source_raw_audio,source_audio,take_id,event_id,event_range,gesture_id,expected_sample_type,unit_status,marker_label_zh,confidence,nudge_total_ms,notes,training_value_class,not_sample_assets
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T021,T021:slate_start,slate_start,0.000,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,001,RS_XWC_002_021,T021,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T021,,,,,confirmed,口播起始,0.766364,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T021,T021:slate_end,slate_end,4.000,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,001,RS_XWC_002_021,T021,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T021,,,,,confirmed,口播结束,0.766364,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T021,T021:next_slate_start,next_slate_start,10.200,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,001,RS_XWC_002_021,T021,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T021,,,,,confirmed,下一口播起始,0.766364,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T022,T022:slate_start,slate_start,10.200,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,002,RS_XWC_002_022,T022,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T022,,,,,confirmed,口播起始,0.841523,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T022,T022:slate_end,slate_end,12.580,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,002,RS_XWC_002_022,T022,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T022,,,,,confirmed,口播结束,0.841523,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T022,T022:next_slate_start,next_slate_start,19.720,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,002,RS_XWC_002_022,T022,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T022,,,,,confirmed,下一口播起始,0.841523,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T023,T023:slate_start,slate_start,19.720,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,003,RS_XWC_002_023,T023,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T023,,,,,confirmed,口播起始,0.960253,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T023,T023:slate_end,slate_end,21.720,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,003,RS_XWC_002_023,T023,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T023,,,,,confirmed,口播结束,0.960253,100,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T023,T023:next_slate_start,next_slate_start,30.000,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,003,RS_XWC_002_023,T023,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T023,,,,,confirmed,下一口播起始,0.960253,0,,review_only_boundary_draft,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch03,T024,T024:slate_start,slate_start,30.000,asr_candidate,accepted,true,false,2026-06-19T11:16:28.005171+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDAzX1QwMjEtVDAzMC53YXY,004,RS_XWC_002_024,T024,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch03_T021-T030.wav,T024,,,,,confirmed,口播起始,0.88529,0,,review_only_boundary_draft,true
