render_set_id,version_id,phrase_id,section_id,event_range,start_s,end_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,next_phrase_first_attack_s,phrase_end_policy,boundary_source,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,f_generation_pending,f_input_source,f_not_generated,f_generation_completed,f_version_id,experimental_render,review_only,production_grade
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,1.284,20.877,1.284,16.785,20.877,16.815,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,1.284,20.324,1.284,17.572,20.324,17.602,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,1.284,20.051,1.284,16.755,20.051,16.785,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,1.284,21.702,1.284,18.560,21.702,18.590,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,16.392,35.239,16.392,32.738,35.239,32.768,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,17.179,37.434,17.179,34.396,37.434,34.426,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,16.362,35.709,16.362,32.317,35.709,32.347,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,18.167,39.064,18.167,37.369,39.064,37.399,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,30.836,51.542,30.836,47.724,51.542,47.754,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,32.494,52.352,32.494,49.945,52.352,49.975,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,30.415,49.077,30.415,46.515,49.077,46.545,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,35.467,58.223,35.467,55.317,58.223,55.347,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,46.502,67.317,46.502,62.912,67.317,62.942,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,48.723,68.756,48.723,65.940,68.756,65.970,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,45.293,63.779,45.293,60.589,63.779,60.619,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,54.095,77.023,54.095,73.568,77.023,73.598,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,62.056,81.132,62.056,77.892,81.132,77.922,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,65.084,85.225,65.084,81.303,85.225,81.333,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,59.733,78.721,59.733,74.275,78.721,74.305,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,72.712,94.063,72.712,91.650,94.063,91.680,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,77.290,91.380,77.290,87.677,91.380,87.707,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,80.701,93.908,80.701,91.770,93.908,91.800,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,73.673,86.317,73.673,83.651,86.317,83.681,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,91.048,106.603,91.048,103.850,106.603,103.880,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,87.060,101.429,87.060,97.581,101.429,97.611,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,91.153,105.236,91.153,102.017,105.236,102.047,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,83.034,96.324,83.034,92.753,96.324,92.783,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,103.233,118.948,103.233,116.050,118.948,116.080,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,95.732,110.575,95.732,107.451,110.575,107.481,before_next_phrase_first_attack_minus_0.03s,imported,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
